name, token id
actinium89,31930237811894890135299214364468232019973508319184514796618092244370394065381
aluminium13,597916516229355708097311412588359060898071065859445467077815419001880434054
americium95,61942909625268418091683512542795639385428099923418188434223428209988127922964
antimony51,72741636150325393814623993483848734548939070723682901621993354490294283540156
argon18,39154348596421153791793721327114459760161564703111064693201544277750783859096
arsenic33,5944811108278723248386551258086799823029279120107423524739636596682838096016
astatine85,98331104321701239378131764419974577111426250099503742865313446222945600756474
barium56,15073419960718205652265609136664913955443918449737869174123811094484132255218
berkelium97,76502323994039042250047431536092129209233901264374524331945819026280286791056
beryllium4,63890811615006076357022072645775198261077367962143800185678365829137231795539
bismuth83,20900362813380812548981670148537169593008138988389800768901948894569900615749
bohrium107,5924354862692132056174331812546341230808365616155056162636708237668066563410
boron5,32580551937215153759813399586629304678578766624659214035293044933327505892759
bromine35,101203871377104276473130816603334180789132338064511771010616898630740897917140
cadmium48,21287856402689140025111911438743261772920146974266220796560734076008765563162
calcium20,58612133809814906265995919533709641017239525230970969724251626373633747987523
californium98,76079755823343211797164670576997020629112391463964370306740121244849123583178
carbon6,7599446955534308992210391822980493607896778525560537473683573064940394898457
cerium58,75260687234832281524117477136773670840943096592950273409323750882900676598516
cesium55,35273029859158452421550037240894247593825571897088228572900335349675847691172
chlorine17,95894688590616885755940389516049049031096479951042098415409282634743355618920
chromium24,46689131968020617070546256405753376531012388982326758859655268909580445508906
cobalt27,22201820509006647368611015362107825762696619645782314513302973228980305849980
copernicium112,38614602198810303370642590425592669124596651012673648605794855775312266206991
copper29,40209872420454340358050249431975485233740537845324917975939943904661817373556
curium96,76704003895825774799630722395596727822941823239992579472035249843274345598714
darmstadtium110,48414163488368375204386444255245198564599352544166680305367617013258653086705
dubnium105,71027135030878403596427057503817922626464842820941340330594830926341923806521
dysprosium66,84110580980268369746613820267074812049456651772083809044307485806091102881974
einsteinium99,52884129107516976245908713101235767042051944425090319918408686819150619505459
erbium68,100376829310704319615601368942663880260955459681174206657415617215870074046018
europium63,75986885209875079186182942606621292409014376882264518487704577313598529035769
fermium100,1498201455071887779975230500297636267872711088214914125309238977199793210063
flerovium114,74635364779705910856574594005419654694004579302342557022922752898854567502161
fluorine9,74969988368234886555837085042763823902742871935539618308981537858152299028990
francium87,10041527977637600619259160337710738754959088239206349593095202759448232160508
gadolinium64,28778214823866719424273866196372277874630753777451499465999935908512163957697
gallium31,91739552869204158353564992060118192002931596937224548890550580291306789480637
germanium32,110699169056716064069809512285229072313059560690231203968771186772762969534710
gold79,110455200384544696179371386935352303878273804357574680602673936664760840955176
hafnium72,83150875779308768131495593515484671702755954349986199187815851190183090678313
hassium108,97596029743944736906133434264127623332870709012058729318228597122234415193760
helium2,30315342408596031877135994512494921577915294078810044819051690165356804480140
holmium67,11904447167456746749312624300382994957245525579244862869931619913338556526466
hydrogen1,18363247886066928528752297655951814794861992877944806286587864005652371564591
indium49,109101016771128121604392230631405007601812032392604468905802040771076496231627
iodine53,103798486192710122244130008144969345582651669857717569301758233072706468259265
iridium77,35472492425097298799898212723841790822629673950341307491265884728759813171021
iron26,9041308803163197051934131799155211984574104692894081511457752319756761755571
krypton36,32047641389900845665970210881476904146433811725727661752303025754610253640943
lanthanum57,96332279151434437509568075750187191781611291442590647608980818456117871278901
lawrencium103,72418951778799606575924671804908035582012660963176485302297324286168968406274
lead82,102869726981040253618542912949985705521984960243114527190023369175395156371014
lithium3,29740835751662584430882160341119793369166553808883286847357247496833152353797
livermorium116,7364083972404650528583564037169867449394379166427947854636258278651407088950
lutetium71,72127699421695459475269137067633140855067894040987014432184835191417452051721
magnesium12,33780674774988433864951307780232423078533651168276895970461529443270087673512
manganese25,100171209227166307598259361315696159700048666949100248262747595657306244933056
meitnerium109,74117107932487783005425685780872032467507748908892636242469983128868689221689
mendelevium101,111066271185056800228272089032559265459938012549429751390268271873024889092719
mercury80,57348936454047797975682408327806180727514351765722399646944235533992022722168
molybdenum42,33196343109976132213804100791609650250711921319046075717241652930999970961993
moscovium115,112246019913670058752334608830385927587683377792851018075608446681388817930079
neodymium60,95835769520738251159245095352215348419773155583125043174051682018543931796317
neon10,71411680648979680136840641068992068948815812775647055201504976251051862260507
neptunium93,783810137324253063122362807031352977055664169048004650410791058065117941612
nickel28,45650775065002457575917547637497544839862904990990241819672432252468525105364
nihonium113,66169924394809961125825896281960461983839980239628215924918105030163316551374
niobium41,104253593999528495157363809873369095016957144866711209766495629300072001219210
nitrogen7,95579730614525934202439495926657423426149989343638530396506969289960895455758
nobelium102,79127823063308751166190590542366968852040187383414974929838184988453742190503
oganesson118,41775384868807624626392771059191296589160280742413052880504865062875765376315
osmium76,33726172170115387958699472205428757400504846012580032733337628189579319865758
oxygen8,38039328088225026460083504924044960813064620628529814198539576777968347712962
palladium46,22107704793961283859114982019549810892085925149408821025795352484360978581392
phosphorus15,58372283422872876221228515555824470654087544518518234037973490529204436795153
platinum78,17330952937348962090529357362879487485600776381955884604203108177153897580731
plutonium94,103700861663711341546817801071615002171939021817760652970877644175745341536308
polonium84,8298360414594335968205612113799856961706570210800916815087061777919397482223
potassium19,40742878056233035933426392335427799351704092314670262812966942309542231684083
praseodymium59,1418505831597632303885107767457458594538896733821412812500591779673051795139
promethium61,25954613670099812351269264805482752629784654458579242158404413904119781774247
protactinium91,9509419635537178300595438309363212567097622476105764887681114455904942642216
radium88,92526197907823819247374703771362868825201587057107499956010614240947344672407
radon86,171355523915367330978995767949539673938689612994286277394504816589656647290
rhenium75,81413623372065410164192873870535071133965610903109197917769592636424344840616
rhodium45,18274186644569499432356397472660445480456658831261515072138742651840608248645
roentgenium111,111565069363251492651272380331150021772324085576900708469675605253226573520248
rubidium37,43479351462229236781128898010930136823277456736055625215061116992128968957845
ruthenium44,68501237853320186726012101876360835065220450339798165425679261935102946443553
rutherfordium104,38840845899880149738978443894624328195270989646958924593951742704238733659217
samarium62,112849789874106834992838731902344634952123653513565443397117671414328652038207
scandium21,44586100577666575633817786319518560330486456160153899472639693096528852719595
seaborgium106,20773100041750492593588787820521269220372803273217802772007130816623682154637
selenium34,8489507253377260516472429779820531206124794717201628563761563180444797024300
silicon14,17483073666119339511575304142862875708363023697028546881280703484025163718299
silver47,58985792887504466605421536604439045739849472333782268330361741780691296208186
sodium11,44742388298860561704983015833823830879624637876621380165259903835458838232560
strontium38,41717009372766540926714826705465676650052620475266111255914174776466264441408
sulfur16,74225492575698828647845670778763388790256346986434160733164518344508496983253
tantalum73,56350537521582490271591370412320709779645635373694031560691767771190325684763
technetium43,28429288314814850979098522463347594216401213139863336757459667108917556516770
tellurium52,54699251232021094808657220886261424307721536564652064522659717544273042326693
tennessine117,28596229990855316247514794050187390099085750460872756936277624758298386331773
terbium65,82633504966256688124022017735218383668578611055728809161526179858713599587302
thallium81,41464197634561281473465072467370660485087394848296812616273697970626448901555
thorium90,68829006686958418672222010552078023935130007905567001624759160327373785053551
thulium69,3999522283528902421384039649587810557882382476142566290751599494363623935985
tin50,34648272561732478066341138796875918818193326976007633773262407047039158151686
titanium22,79606838352765209602359839967846584122143072710086232336093951130223037230233
tungsten74,41224266816813400949165777714286077868884777056193961087730659020707227712164
uranium92,101195707855000250445602898977958962276522254137606879694305628677497700434778
vanadium23,22125879368392264683853836256257313685736833772449472159904387482523365404287
xenon54,88578707165050517694258553123814974160856192660573813029099214986707193000028
ytterbium70,73369786071832917327717483434641929023413101827718763876325656373884524453077
yttrium39,21146211523142362598077937208430136666962564636557606051957715758161802851174
zinc30,75077043739730126772813785780549098697910993975893146070587127123248204432094
zirconium40,108303148964183080899853726113230943920722006981366269769983690665003381850244
